Date,opening,high,low,closing,volume,adjustment
"2019-01-04","3597","3667","3581","3662","7934900","3662"
"2019-01-07","3760","3789","3733","3761","8628400","3761"
"2019-01-08","3779","3820","3764","3782","6631700","3782"
"2019-01-09","3830","3836","3788","3813","4582300","3813"
"2019-01-10","3778","3830","3770","3819","4880700","3819"
"2019-01-11","3850","3860","3806","3818","5599300","3818"
"2019-01-15","3838","3916","3838","3882","7033800","3882"
"2019-01-16","3874","3875","3818","3852","4773600","3852"
"2019-01-17","3922","3929","3872","3887","5090500","3887"
"2019-01-18","3921","3936","3895","3909","4587700","3909"
"2019-01-21","3962","3981","3948","3955","5249300","3955"
"2019-01-22","3955","3966","3910","3928","3481800","3928"
"2019-01-23","3918","3964","3913","3931","4826500","3931"
"2019-01-24","3970","3988","3959","3982","6057200","3982"
"2019-01-25","3976","4024","3976","4013","5743500","4013"
"2019-01-28","4014","4029","3993","4006","4311300","4006"
"2019-01-29","4007","4033","4003","4033","5208600","4033"
"2019-01-30","4022","4033","4003","4014","4548600","4014"
"2019-01-31","4056","4060","4021","4045","5096100","4045"
"2019-02-01","4025","4031","3943","3943","8881000","3943"
"2019-02-04","3984","3992","3943","3983","5549900","3983"
"2019-02-05","3971","3990","3952","3956","4845900","3956"
"2019-02-06","3960","3988","3957","3966","3655800","3966"
"2019-02-07","3950","3969","3916","3928","4574100","3928"
"2019-02-08","3900","3907","3854","3861","6090800","3861"
"2019-02-12","3899","3950","3887","3931","7417400","3931"
"2019-02-13","3970","3999","3962","3981","5264900","3981"
"2019-02-14","3955","3974","3940","3970","4315700","3970"
"2019-02-15","3925","3946","3889","3937","5733900","3937"
"2019-02-18","4009","4070","4001","4035","7650200","4035"
"2019-02-19","4020","4053","4020","4048","3822900","4048"
"2019-02-20","4052","4067","4041","4041","3536200","4041"
"2019-02-21","4048","4066","4018","4033","4206400","4033"
"2019-02-22","3999","4010","3986","4002","4168400","4002"
"2019-02-25","4035","4037","3995","3995","4281800","3995"
"2019-02-26","4000","4007","3954","3974","5254700","3974"
"2019-02-27","3987","3990","3965","3965","4625000","3965"
